时间,冷机3总有功功率,冷机4总有功功率,室外湿球温度,冷机3蒸发器压力,冷机3冷冻水出水温度,冷机3冷凝器小温差,冷机3蒸发器小温差,冷机4蒸发器压力,冷机4冷冻水出水温度,冷机4冷凝器小温差,冷机4蒸发器小温差
2025-07-20 00:00,0.36,0.36,25.21,462.1,17.2,-9.6,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 00:05,0.36,0.36,24.73,462.1,17.2,-9.6,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 00:10,0.36,0.36,25.26,462.1,17.2,-9.6,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 00:15,0.36,0.36,23.68,462.1,17.2,-9.7,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 00:20,0.36,0.36,24.57,462.1,17.2,-9.7,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 00:25,0.36,0.36,23.94,462.1,17.3,-9.7,-2.2,462.1,17.7,-5.0,-1.8
2025-07-20 00:30,0.36,0.36,24.65,462.1,17.2,-9.7,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 00:35,0.36,0.36,25.39,462.1,17.2,-9.7,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 00:40,0.36,0.36,23.44,462.1,17.1,-9.7,-2.4,462.1,17.8,-5.0,-1.7
2025-07-20 00:45,0.36,0.36,24.53,462.1,17.2,-9.7,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 00:50,0.36,0.36,24.85,462.1,17.2,-9.7,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 00:55,0.36,0.36,24.42,462.1,17.3,-9.7,-2.2,462.1,17.8,-5.0,-1.7
2025-07-20 01:00,0.36,0.0,24.28,462.1,17.2,-9.8,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 01:05,0.36,0.36,24.69,462.1,17.2,-9.8,-2.3,462.1,17.8,-5.0,-1.7
2025-07-20 01:10,0.36,0.36,24.02,462.1,17.2,-9.8,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 01:15,0.36,0.36,23.56,462.1,17.2,-9.8,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 01:20,0.36,0.36,24.98,462.1,17.3,-9.8,-2.2,462.1,17.8,-5.0,-1.7
2025-07-20 01:25,0.36,0.0,24.81,462.1,17.2,-9.8,-2.3,462.1,17.7,-5.0,-1.8
2025-07-20 01:30,0.36,0.36,25.01,462.1,17.2,-9.8,-2.3,462.1,17.7,-5.0,-1.8
