time,y_true,y_pred
2025-07-27 00:05:00,78.96,84.24
2025-07-27 00:10:00,79.8,78.96
2025-07-27 00:15:00,80.04,79.8
2025-07-27 00:20:00,81.24,80.04
2025-07-27 00:25:00,79.68,81.24
2025-07-27 00:30:00,80.04,79.68
2025-07-27 00:35:00,83.16,80.04
2025-07-27 00:40:00,81.6,83.16
2025-07-27 00:45:00,82.68,81.6
2025-07-27 00:50:00,80.16,82.68
2025-07-27 00:55:00,87.6,80.16
2025-07-27 01:00:00,82.08,87.6
2025-07-27 01:05:00,82.68,82.08
2025-07-27 01:10:00,82.2,82.68
2025-07-27 01:15:00,84.48,82.2
2025-07-27 01:20:00,83.64,84.48
2025-07-27 01:25:00,84.0,83.64
2025-07-27 01:30:00,84.96,84.0
2025-07-27 01:35:00,82.2,84.96
2025-07-27 01:40:00,85.8,82.2
2025-07-27 01:45:00,85.68,85.8
2025-07-27 01:50:00,84.0,85.68
2025-07-27 01:55:00,80.28,84.0
2025-07-27 02:00:00,82.8,80.28
2025-07-27 02:05:00,80.28,82.8
2025-07-27 02:10:00,83.16,80.28
2025-07-27 02:15:00,79.32,83.16
2025-07-27 02:20:00,81.72,79.32
2025-07-27 02:25:00,80.52,81.72
2025-07-27 02:30:00,81.72,80.52
2025-07-27 02:35:00,82.08,81.72
2025-07-27 02:40:00,79.68,82.08
2025-07-27 02:45:00,84.72,79.68
2025-07-27 02:50:00,81.24,84.72
2025-07-27 02:55:00,82.44,81.24
2025-07-27 03:00:00,83.4,82.44
2025-07-27 03:05:00,80.52,83.4
2025-07-27 03:10:00,80.4,80.52
2025-07-27 03:15:00,81.6,80.4
2025-07-27 03:20:00,82.2,81.6
2025-07-27 03:25:00,79.32,82.2
2025-07-27 03:30:00,83.64,79.32
2025-07-27 03:35:00,81.48,83.64
2025-07-27 03:40:00,84.72,81.48
2025-07-27 03:45:00,81.0,84.72
2025-07-27 03:50:00,83.04,81.0
2025-07-27 03:55:00,78.96,83.04
2025-07-27 04:00:00,84.12,78.96
2025-07-27 04:05:00,80.88,84.12
2025-07-27 04:10:00,82.2,80.88
2025-07-27 04:15:00,80.28,82.2
2025-07-27 04:20:00,85.08,80.28
2025-07-27 04:25:00,82.2,85.08
2025-07-27 04:30:00,80.52,82.2
2025-07-27 04:35:00,85.44,80.52
2025-07-27 04:40:00,79.56,85.44
2025-07-27 04:45:00,84.84,79.56
2025-07-27 04:50:00,79.56,84.84
2025-07-27 04:55:00,85.08,79.56
2025-07-27 05:00:00,82.2,85.08
2025-07-27 05:05:00,82.56,82.2
2025-07-27 05:10:00,81.48,82.56
2025-07-27 05:15:00,82.44,81.48
2025-07-27 05:20:00,82.08,82.44
2025-07-27 05:25:00,83.88,82.08
2025-07-27 05:30:00,83.52,83.88
2025-07-27 05:35:00,83.52,83.52
2025-07-27 05:40:00,86.52,83.52
2025-07-27 05:45:00,82.08,86.52
2025-07-27 05:50:00,84.36,82.08
2025-07-27 05:55:00,84.24,84.36
2025-07-27 06:00:00,85.44,84.24
2025-07-27 06:05:00,82.08,85.44
2025-07-27 06:10:00,83.28,82.08
2025-07-27 06:15:00,83.64,83.28
2025-07-27 06:20:00,85.56,83.64
2025-07-27 06:25:00,87.0,85.56
2025-07-27 06:30:00,83.52,87.0
2025-07-27 06:35:00,85.2,83.52
2025-07-27 06:40:00,84.72,85.2
2025-07-27 06:45:00,86.28,84.72
2025-07-27 06:50:00,82.68,86.28
2025-07-27 06:55:00,87.84,82.68
2025-07-27 07:00:00,82.92,87.84
2025-07-27 07:05:00,86.88,82.92
2025-07-27 07:10:00,82.8,86.88
2025-07-27 07:15:00,89.04,82.8
2025-07-27 07:20:00,83.88,89.04
2025-07-27 07:25:00,84.6,83.88
2025-07-27 07:30:00,88.8,84.6
2025-07-27 07:35:00,84.36,88.8
2025-07-27 07:40:00,85.92,84.36
2025-07-27 07:45:00,86.76,85.92
2025-07-27 07:50:00,86.88,86.76
