time,y_true,y_pred
2025-07-27 00:05:00,78.96,87.24
2025-07-27 00:10:00,79.8,87.6
2025-07-27 00:15:00,80.04,85.56
2025-07-27 00:20:00,81.24,91.56
2025-07-27 00:25:00,79.68,86.64
2025-07-27 00:30:00,80.04,87.84
2025-07-27 00:35:00,83.16,86.28
2025-07-27 00:40:00,81.6,88.92
2025-07-27 00:45:00,82.68,85.56
2025-07-27 00:50:00,80.16,86.76
2025-07-27 00:55:00,87.6,86.76
2025-07-27 01:00:00,82.08,88.2
2025-07-27 01:05:00,82.68,85.32
2025-07-27 01:10:00,82.2,88.2
2025-07-27 01:15:00,84.48,86.28
2025-07-27 01:20:00,83.64,84.0
2025-07-27 01:25:00,84.0,90.24
2025-07-27 01:30:00,84.96,81.36
2025-07-27 01:35:00,82.2,86.76
2025-07-27 01:40:00,85.8,87.0
2025-07-27 01:45:00,85.68,87.96
2025-07-27 01:50:00,84.0,85.08
2025-07-27 01:55:00,80.28,87.72
2025-07-27 02:00:00,82.8,90.72
2025-07-27 02:05:00,80.28,85.44
2025-07-27 02:10:00,83.16,89.88
2025-07-27 02:15:00,79.32,89.16
2025-07-27 02:20:00,81.72,91.68
2025-07-27 02:25:00,80.52,86.4
2025-07-27 02:30:00,81.72,91.2
2025-07-27 02:35:00,82.08,85.56
2025-07-27 02:40:00,79.68,87.6
2025-07-27 02:45:00,84.72,88.68
2025-07-27 02:50:00,81.24,88.92
2025-07-27 02:55:00,82.44,85.8
2025-07-27 03:00:00,83.4,88.32
2025-07-27 03:05:00,80.52,89.28
2025-07-27 03:10:00,80.4,87.0
2025-07-27 03:15:00,81.6,90.12
2025-07-27 03:20:00,82.2,85.32
2025-07-27 03:25:00,79.32,90.72
2025-07-27 03:30:00,83.64,86.88
2025-07-27 03:35:00,81.48,88.68
2025-07-27 03:40:00,84.72,86.16
2025-07-27 03:45:00,81.0,91.32
2025-07-27 03:50:00,83.04,85.08
2025-07-27 03:55:00,78.96,89.28
2025-07-27 04:00:00,84.12,88.08
2025-07-27 04:05:00,80.88,88.92
2025-07-27 04:10:00,82.2,87.36
2025-07-27 04:15:00,80.28,87.24
2025-07-27 04:20:00,85.08,93.12
2025-07-27 04:25:00,82.2,86.64
2025-07-27 04:30:00,80.52,90.24
2025-07-27 04:35:00,85.44,87.6
2025-07-27 04:40:00,79.56,90.72
2025-07-27 04:45:00,84.84,86.16
2025-07-27 04:50:00,79.56,87.12
2025-07-27 04:55:00,85.08,90.36
2025-07-27 05:00:00,82.2,85.2
2025-07-27 05:05:00,82.56,89.16
2025-07-27 05:10:00,81.48,87.72
2025-07-27 05:15:00,82.44,88.56
2025-07-27 05:20:00,82.08,86.88
2025-07-27 05:25:00,83.88,90.36
2025-07-27 05:30:00,83.52,84.48
2025-07-27 05:35:00,83.52,89.16
2025-07-27 05:40:00,86.52,87.0
2025-07-27 05:45:00,82.08,87.72
2025-07-27 05:50:00,84.36,84.24
2025-07-27 05:55:00,84.24,86.76
2025-07-27 06:00:00,85.44,88.08
2025-07-27 06:05:00,82.08,84.12
2025-07-27 06:10:00,83.28,89.52
2025-07-27 06:15:00,83.64,87.24
2025-07-27 06:20:00,85.56,88.56
2025-07-27 06:25:00,87.0,85.68
2025-07-27 06:30:00,83.52,87.24
2025-07-27 06:35:00,85.2,86.16
2025-07-27 06:40:00,84.72,85.8
2025-07-27 06:45:00,86.28,85.32
2025-07-27 06:50:00,82.68,86.76
2025-07-27 06:55:00,87.84,85.44
2025-07-27 07:00:00,82.92,86.64
2025-07-27 07:05:00,86.88,85.56
2025-07-27 07:10:00,82.8,85.68
2025-07-27 07:15:00,89.04,88.56
2025-07-27 07:20:00,83.88,84.0
2025-07-27 07:25:00,84.6,90.12
2025-07-27 07:30:00,88.8,85.68
2025-07-27 07:35:00,84.36,87.24
2025-07-27 07:40:00,85.92,85.32
2025-07-27 07:45:00,86.76,89.16
2025-07-27 07:50:00,86.88,83.4
2025-07-27 07:55:00,83.88,84.84
2025-07-27 08:00:00,90.84,89.64
2025-07-27 08:05:00,85.56,84.12
2025-07-27 08:10:00,86.76,88.2
2025-07-27 08:15:00,87.12,83.52
2025-07-27 08:20:00,85.56,90.24
2025-07-27 08:25:00,88.44,83.4
2025-07-27 08:30:00,85.44,87.96
2025-07-27 08:35:00,87.6,84.72
2025-07-27 08:40:00,87.0,85.8
2025-07-27 08:45:00,90.0,85.32
2025-07-27 08:50:00,85.8,88.32
2025-07-27 08:55:00,87.84,84.48
2025-07-27 09:00:00,86.28,86.4
2025-07-27 09:05:00,92.16,87.96
2025-07-27 09:10:00,85.56,85.2
2025-07-27 09:15:00,90.48,86.16
2025-07-27 09:20:00,88.8,85.2
2025-07-27 09:25:00,86.16,89.16
2025-07-27 09:30:00,87.12,83.64
2025-07-27 09:35:00,87.0,88.32
2025-07-27 09:40:00,90.6,84.24
2025-07-27 09:45:00,85.56,87.84
2025-07-27 09:50:00,92.04,84.84
2025-07-27 09:55:00,88.2,85.08
2025-07-27 10:00:00,87.48,87.96
2025-07-27 10:05:00,88.08,86.4
2025-07-27 10:10:00,88.44,86.28
2025-07-27 10:15:00,86.4,85.08
2025-07-27 10:20:00,85.08,89.16
2025-07-27 10:25:00,87.84,84.36
2025-07-27 10:30:00,88.08,87.36
2025-07-27 10:35:00,86.28,87.12
2025-07-27 10:40:00,87.84,88.08
2025-07-27 10:45:00,88.68,84.24
2025-07-27 10:50:00,84.6,86.76
2025-07-27 10:55:00,90.96,87.72
2025-07-27 11:00:00,86.4,84.72
2025-07-27 11:05:00,86.88,88.32
2025-07-27 11:10:00,88.44,86.28
2025-07-27 11:15:00,85.92,87.36
2025-07-27 11:20:00,86.52,83.88
2025-07-27 11:25:00,85.8,91.68
2025-07-27 11:30:00,88.08,84.0
2025-07-27 11:35:00,86.52,87.48
2025-07-27 11:40:00,88.08,85.44
2025-07-27 11:45:00,87.0,88.68
2025-07-27 11:50:00,89.52,87.12
2025-07-27 11:55:00,84.72,85.8
2025-07-27 12:00:00,91.32,90.0
2025-07-27 12:05:00,85.8,85.32
2025-07-27 12:10:00,88.8,89.04
2025-07-27 12:15:00,88.68,90.48
2025-07-27 12:20:00,86.4,88.32
